tfmicro,0.314159,0.372770,0.309017,61.452,-115,48
tfmicro,0.628319,0.559154,0.587785,61.383,-102,70
tfmicro,0.942478,0.838731,0.809017,61.404,-89,103
tfmicro,1.256637,0.965812,0.951057,61.466,-76,118
tfmicro,1.570796,1.042060,1.000000,61.444,-64,127
tfmicro,1.884956,0.957340,0.951056,61.410,-51,117
tfmicro,2.199115,0.821787,0.809017,61.552,-38,101
tfmicro,2.513274,0.533738,0.587785,61.407,-25,67
tfmicro,2.827433,0.237217,0.309017,61.463,-12,32
tfmicro,3.141593,0.008472,-0.000000,61.592,0,5
tfmicro,3.455752,-0.304993,-0.309017,61.526,12,-32
tfmicro,3.769912,-0.533738,-0.587786,61.415,25,-59
tfmicro,4.084070,-0.779427,-0.809017,61.487,38,-88
tfmicro,4.398230,-0.965812,-0.951056,61.457,50,-110
tfmicro,4.712389,-1.109837,-1.000000,61.387,63,-127
tfmicro,5.026548,-0.982756,-0.951056,61.513,76,-112
tfmicro,5.340708,-0.745539,-0.809017,61.344,89,-84
tfmicro,5.654867,-0.533738,-0.587785,61.562,102,-59
tfmicro,5.969026,-0.355825,-0.309017,61.463,114,-38
tfmicro,0.000000,0.000000,0.000000,61.531,-128,4
