direct,0.314159,0.372770,0.309017,73.905,-115,48
direct,0.628319,0.550682,0.587785,73.905,-102,69
direct,0.942478,0.847203,0.809017,73.956,-89,104
direct,1.256637,0.965812,0.951057,73.956,-76,118
direct,1.570796,1.042060,1.000000,73.956,-64,127
direct,1.884956,0.957340,0.951056,73.956,-51,117
direct,2.199115,0.821787,0.809017,73.956,-38,101
direct,2.513274,0.533738,0.587785,73.956,-25,67
direct,2.827433,0.228745,0.309017,73.956,-12,31
direct,3.141593,0.008472,-0.000000,73.956,0,5
direct,3.455752,-0.304993,-0.309017,73.968,12,-32
direct,3.769912,-0.533738,-0.587786,73.968,25,-59
direct,4.084070,-0.779427,-0.809017,73.968,38,-88
direct,4.398230,-0.965812,-0.951056,73.968,50,-110
direct,4.712389,-1.118309,-1.000000,73.968,63,-128
direct,5.026548,-0.982756,-0.951056,73.968,76,-112
direct,5.340708,-0.745539,-0.809017,73.968,89,-84
direct,5.654867,-0.525266,-0.587785,73.968,102,-58
direct,5.969026,-0.355825,-0.309017,73.968,114,-38
direct,0.000000,0.000000,0.000000,73.392,-128,4
direct,0.314159,0.372770,0.309017,73.905,-115,48
direct,0.628319,0.550682,0.587785,73.905,-102,69
direct,0.942478,0.847203,0.809017,73.956,-89,104
