source,voltage_v,current_a,power_w_display,power_w_calculated,image_file,notes
direct,5.1018,0.11205,0.5714,0.57165669,direct_power_measurement.png,user-provided USB meter photo
tfmicro,5.1083,0.09782,0.5000,0.499693906,tfmicro_power_measurement.png,user-provided USB meter photo
